State,Capital city,Second city,Third city
Alabama,Montgomery,Birmingham,Huntsville
Alaska,Juneau,Anchorage,Fairbanks
Arizona,Phoenix,Tucson,Mesa
Arkansas,Little Rock,Fort Smith,Fayetteville
California,Sacramento,Los Angeles,San Diego
Colorado,Denver,Colorado Springs,Aurora
Connecticut,Hartford,Bridgeport,New Haven
Delaware,Dover,Wilmington,Newark
Florida,Tallahassee,Jacksonville,Miami
Georgia,Atlanta,Savannah,Athens
Hawaii,Honolulu,Hilo,Pearl City
Idaho,Boise,Meridian,Nampa
Illinois,Springfield,Chicago,Aurora
Indiana,Indianapolis,Fort Wayne,Evansville
Iowa,Des Moines,Cedar Rapids,Davenport
Kansas,Topeka,Wichita,Overland Park
Kentucky,Frankfort,Bowling Green,Covington
Louisiana,Baton Rouge,New Orleans,Shreveport
Maine,Augusta,Portland,Lewiston
Maryland,Annapolis,Baltimore,Columbia
Massachusetts,Boston,Worcester,Springfield
Michigan,Lansing,Detroit,Grand Rapids City
Minnesota,Saint Paul,Minneapolis,Rochester
Mississippi,Jackson,Gulfport,Southaven
Missouri,Jefferson City,Kansas City,St. Louis
Montana,Helena,Boseman,Billings
Nebraska,Lincoln,Nebraska City,Omaha
Nevada,Carson City,Las Vegas,Reno
New Hampshire,Concord,Manchester,Portsmouth
New Jersey,Trenton,Jersey Ctiy,Newark
New Mexico,Santa Fe,Alburquerque,Santa Fe
New York,Albany,New York City,Rochester
North Carolina,Raleigh,Charlotte,Asheville
North Dakota,Bismarck,Fargo,Minot
Ohio,Columbus,Cleveland,Cincinnati
Oklahoma,Oklahoma City,Tulsa,Norman
Oregon,Salem,Portland,Eugene
Pennsylvania,Harrisburg,Philadelphia,Pittsburgh
Rhode Island,Providence,Newport,Warwick
South Carolina,Columbia,Charleston,Greenville
South Dakota,Pierre,Sioux Falls,Rapid City
Tennessee,Nashville,Memphis,Gatlinburg
Texas,Austin,Dallas,Houston
Utah,Salt Lake City,St. George,Park City
Vermont,Montpelier,Burlington,Stowe
Virginia,Richmond,Virginia Beach,Norfolk
Washington,Olympia,Seattle,Spokane
West Virginia,Charleston,Morgantown,Huntington
Wisconsin,Madison,Milwaukee,Kenosha
Wyoming,Cheyenne,Jackson,Cody
